,n_sense
郢,0
酌,0
釜,0
陝,0
飢,5
鬲,0
凈,0
剡,0
哧,0
唄,0
唎,0
垸,0
孬,2
恁,0
捅,0
捋,0
栮,0
浣,0
烝,0
缹,0
珥,0
盉,0
眛,0
砣,0
砬,0
砵,0
砯,0
祛,0
笏,0
粑,0
紓,0
罛,0
胺,0
舁,0
茭,0
荑,0
茜,0
茢,0
衲,3
迻,0
隼,0
偃,0
偎,0
偵,0
倏,0
兜,0
冕,0
凰,0
勘,0
匿,0
匾,0
曼,0
啪,5
啡,0
啃,5
啖,4
唸,5
啜,0
唬,0
啣,0
域,0
堊,0
埠,0
埤,0
堵,0
培,0
奢,0
婁,0
婉,0
娼,0
婢,0
寅,0
寂,0
宿,8
尉,0
屜,3
崎,0
崩,4
崤,0
崗,5
庸,0
庵,2
彬,0
徙,0
徘,0
御,0
悉,0
惦,0
悽,0
悵,0
悼,0
惆,0
悸,0
戚,0
扈,0
掠,0
掖,0
捷,6
掘,5
捱,0
掄,3
掙,0
掬,0
掏,0
掀,5
捻,0
捺,0
敝,3
敖,0
晝,2
晤,0
晦,0
晞,0
梢,4
梵,0
梱,0
梗,6
械,0
梭,0
梨,0
梟,0
氫,0
涎,3
液,0
淌,0
淤,0
淋,4
涯,0
淑,0
涮,0
淹,0
涸,0
淵,0
涵,0
淫,3
淮,0
烹,0
焊,0
烯,0
犁,5
猖,0
瓠,0
畦,0
痔,1
痕,0
痊,0
盔,0
眷,0
眶,2
眸,1
眺,0
硫,0
窒,0
笠,0
笛,3
笞,0
絆,0
絃,0
紮,0
紹,0
絀,0
紳,0
缽,0
翌,0
翎,0
聆,3
脯,0
脖,2
舵,0
舷,0
舶,0
莢,0
莉,0
莠,0
荷,0
荻,0
莆,0
蛀,4
蚵,0
蛆,0
袖,2
袍,1
訣,0
訥,0
訟,0
訛,0
豚,3
販,0
赧,0
赦,0
趾,0
軛,0
逕,0
逞,0
逖,0
酗,0
釵,0
釦,3
釧,2
陵,0
陬,0
雀,0
頃,6
鹵,0
偈,0
剮,0
啐,3
唰,0
唻,0
啀,0
屙,0
悱,0
捥,0
掂,0
掇,0
掐,6
据,8
掮,0
捸,0
掑,0
桴,0
梏,0
桷,0
桫,0
淩,0
淖,0
焗,0
烴,0
焐,0
牻,0
猝,0
猞,0
痒,0
痋,0
眯,0
硒,0
砦,0
硅,0
笳,0
脘,0
脥,0
脛,0
脢,0
莤,0
蚳,0
袪,0
袛,0
趿,0
逡,0
酚,0
傢,0
傍,3
傑,2
厥,0
喀,9
喧,0
喇,0
喃,0
喳,0
喟,0
唾,0
喻,4
喬,0
啾,0
喉,0
喫,0
喙,0
堯,0
堤,0
堰,0
堡,0
奠,0
婷,0
婿,3
媒,0
媛,0
寐,0
嵌,0
嵐,1
崴,0
巽,0
幀,0
廊,2
廁,2
廂,0
惑,2
愕,0
惰,0
惱,0
愉,3
戟,0
扉,0
掣,0
揩,0
揆,0
揍,1
揣,0
揖,3
捶,2
援,4
揪,0
摒,0
揹,3
敞,0
斑,0
斐,4
普,0
晰,0
晾,0
棺,0
棕,4
棘,0
棗,3
森,0
棧,0
棲,0
棍,4
椒,0
椎,0
欽,0
殖,0
毯,1
氮,1
氯,1
湔,0
渠,0
渣,0
湘,4
湍,0
渺,0
渝,0
滋,8
湄,0
焙,0
焚,2
焰,2
犀,3
琢,0
琛,0
琦,0
甦,0
痘,0
痠,1
皖,3
皴,0
盜,4
睏,2
硝,0
硯,0
窘,4
窖,0
策,0
筐,0
筒,0
筏,0
粟,0
粥,1
絞,0
絨,0
絡,0
翔,0
翕,0
肅,0
腕,2
腋,0
腑,0
脹,8
脾,0
腌,0
萃,0
萍,0
萊,0
菰,0
菲,0
菊,2
萎,0
蛟,0
蛙,4
蛤,0
裁,5
詠,0
証,5
詔,0
詐,0
詆,0
診,0
貂,0
貯,2
貽,0
貶,4
貿,0
貸,3
跋,0
跛,0
逮,0
逸,0
鄂,0
郵,5
酣,0
酥,0
鈔,4
鈉,0
鈞,3
閑,0
隅,0
隍,0
陲,0
雁,2
雅,7
雯,0
韌,3
飧,0
飭,0
馭,0
傣,0
啷,0
喏,0
喒,0
彘,0
掰,5
揠,0
揜,0
斝,0
棱,0
欹,0
湇,0
渫,0
焢,0
牚,0
猭,0
琖,0
畬,0
睇,0
睅,0
矬,6
筊,0
絭,0
腊,0
菕,0
菇,0
萓,0
衖,0
袸,0
詎,0
跏,0
鈦,0
鈀,0
粧,0
傭,0
債,3
剷,0
募,0
勦,0
匯,5
嗓,0
嗦,0
嗑,0
嗣,0
嗤,0
嗡,0
嗅,0
嗆,2
嗥,0
塑,0
塘,0
塗,4
塚,2
塌,6
塭,0
塢,0
塋,0
奧,10
嫉,1
媳,2
嫂,0
幌,0
弒,0
愚,4
慎,0
慄,0
慍,0
愷,0
戢,0
搓,3
搾,2
搽,1
搏,4
搜,0
搔,1
損,1
搗,5
搆,0
斟,0
暉,0
暇,0
暈,0
楠,0
椰,0
概,0
楷,0
楨,0
楫,0
楞,0
楹,0
榆,0
楣,0
溢,0
溯,0
溶,3
溺,0
煉,0
煜,0
煨,3
猷,0
瑕,2
瑟,0
瑞,0
瘀,1
痰,0
痺,0
痿,0
痴,0
痳,0
盟,0
睛,0
睦,0
督,0
睹,2
睨,0
碘,0
硼,2
碑,3
祺,0
祿,0
稜,0
稠,0
稔,0
稟,0
窟,0
筷,0
粵,0
絹,0
綑,5
違,0
遐,0
遏,0
遁,0
酬,0
酪,0
釉,0
鈷,1
鉗,0
鈸,0
鈽,0
鉀,2
鈾,1
鉛,0
鉚,0
閘,0
雍,0
雉,0
雹,0
靖,0
靴,1
靶,0
飼,2
飴,0
馱,0
馴,0
鼎,0
嗝,0
嗔,0
嗖,2
嗲,2
嵊,0
廋,0
彀,0
搠,0
搢,0
摀,0
搥,3
搧,0
搡,0
楦,0
椿,0
楂,0
楬,0
椽,0
殛,0
滖,0
溱,0
孵,0
寧,11
寡,0
寥,0
寨,0
寢,5
屢,0
幛,0
幣,0
幔,0
廓,0
彆,0
彰,0
愿,0
慷,0
慟,0
慚,0
撇,0
撤,5
摺,6
摑,1
摧,1
搴,0
摻,4
暝,0
榜,0
榨,3
榕,1
槓,0
榛,0
榻,0
榫,0
榴,0
槐,0
槌,3
歉,0
漳,0
漾,0
漠,0
漬,0
滯,0
漱,1
漣,0
澈,0
滬,5
滌,0
滷,2
蓊,0
蜿,0
蜜,0
蜢,0
蜥,0
蝕,0
蜷,0
裳,0
褂,0
裹,0
裸,0
裨,0
誦,0
誌,0
誣,0
誡,0
誓,0
誨,0
誑,0
誚,0
賓,0
賑,0
賒,0
赫,0
輔,0
輒,0
輓,0
遣,0
遛,0
鄙,0
鉸,0
銘,0
銖,0
鉻,0
銜,0
銨,0
銑,0
閡,0
閨,0
閩,5
閣,0
閥,0
閤,0
劊,0
厲,0
嘮,0
嘩,0
噓,2
噎,0
噗,0
嘶,0
嘯,0
嘰,5
墟,0
墜,0
墮,0
墩,0
嬉,0
嬈,0
寮,0
審,0
履,0
幟,2
幡,0
廚,0
慮,0
慕,0
慾,2
憐,0
憫,0
憎,0
戮,0
摹,0
撰,2
撓,0
撕,2
撩,0
撮,0
撬,0
撢,2
撳,0
敷,0
暮,0
暱,0
樟,0
樁,0
樞,0
槽,0
槳,0
樑,4
蔬,0
蔭,0
蔓,0
蔑,0
蔔,0
蝸,0
蝨,0
蝗,0
褐,3
複,0
褒,2
誼,0
諒,0
誕,0
諍,0
豎,0
賬,6
踫,0
踐,0
踝,0
踞,0
輟,0
醇,0
醋,0
醃,0
鋅,0
銻,1
銬,0
鋤,0
鋁,4
鋒,0
鋰,0
閭,0
霉,0
鞍,0
頡,0
頜,0
颳,2
餒,0
駝,6
壇,0
寰,0
憲,3
憩,0
懍,0
憾,0
撼,0
擄,2
擂,0
擒,0
撾,0
曆,0
樽,0
橙,0
橢,0
橇,0
樵,0
橈,0
歙,0
濂,0
澤,0
濁,0
澹,0
熾,2
燉,0
熹,0
燎,0
燜,0
燄,0
璜,0
璟,0
璞,0
瓢,0
甌,0
定,13
其,4
宗,8
拐,10
思,5
控,4
儲,5
款,6
怪,3
代,15
彈,11
孫,9
妙,6
韓,5
差,11
元,7
爽,5
世,13
大,28
小,18
防,6
北,9
