"","character","frequency","stroke_num","scaled_freq"
"11051","""踙""",9,15,-0.130269793791428
"11052","""輘""",9,15,-0.130269793791428
"11053","""輠""",9,15,-0.130269793791428
"11054","""輗""",9,15,-0.130269793791428
"11055","""鋱""",9,15,-0.130269793791428
"11056","""鋟""",9,15,-0.130269793791428
"11057","""鋈""",9,15,-0.130269793791428
"11058","""鋑""",9,15,-0.130269793791428
"11059","""鋡""",9,15,-0.130269793791428
"11060","""髬""",9,15,-0.130269793791428
"11061","""魆""",9,15,-0.130269793791428
"11062","""魦""",9,15,-0.130269793791428
"11063","""魵""",9,15,-0.130269793791428
"11064","""鳼""",9,15,-0.130269793791428
"11065","""鳹""",9,15,-0.130269793791428
"11066","""鴅""",9,15,-0.130269793791428
"11067","""噮""",9,16,-0.130269793791428
"11068","""噦""",9,16,-0.130269793791428
"11069","""噞""",9,16,-0.130269793791428
"11070","""圛""",9,16,-0.130269793791428
"11071","""嬖""",9,16,-0.130269793791428
"11072","""嬨""",9,16,-0.130269793791428
"11073","""嶵""",9,16,-0.130269793791428
"11074","""嶯""",9,16,-0.130269793791428
"11075","""幯""",9,16,-0.130269793791428
"11076","""廦""",9,16,-0.130269793791428
"11077","""廥""",9,16,-0.130269793791428
"11078","""彋""",9,16,-0.130269793791428
"11079","""曏""",9,16,-0.130269793791428
"11080","""樴""",9,16,-0.130269793791428
"11081","""橉""",9,16,-0.130269793791428
"11082","""橁""",9,16,-0.130269793791428
"11083","""橖""",9,16,-0.130269793791428
"11084","""澭""",9,16,-0.130269793791428
"11085","""濇""",9,16,-0.130269793791428
"11086","""燖""",9,16,-0.130269793791428
"11087","""燏""",9,16,-0.130269793791428
"11088","""燚""",9,16,-0.130269793791428
"11089","""璒""",9,16,-0.130269793791428
"11090","""瘭""",9,16,-0.130269793791428
"11091","""瘱""",9,16,-0.130269793791428
"11092","""瘵""",9,16,-0.130269793791428
"11093","""瘲""",9,16,-0.130269793791428
"11094","""磝""",9,15,-0.130269793791428
"11095","""磢""",9,16,-0.130269793791428
"11096","""磭""",9,16,-0.130269793791428
"11097","""篧""",9,16,-0.130269793791428
